precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PSD-PRO BUZĂU-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi"
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",22,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:29",1392,1385,1,6,0,478,472,0,6,0,433,45,1530,1052,272,53,18,58,32
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",23,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:29",1316,1307,0,9,0,372,363,0,9,0,336,36,1452,1080,206,54,27,30,19
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ” - SALA DE SPORT P+1E",24,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:55",1144,1137,0,7,0,442,435,0,7,0,407,35,1251,809,272,31,17,47,40
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ” - SALA DE SPORT P+1E",25,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:30",1309,1299,0,10,0,483,473,0,10,0,460,23,1453,970,295,30,17,69,49
10,BUZĂU,"LICEUL TEHNOLOGIC MESERII ŞI SERVICII",76,"MUNICIPIUL BUZĂU",44818,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:31:16",1463,1449,1,13,0,448,435,0,13,0,400,48,1609,1161,243,65,16,47,29
10,BUZĂU,"LICEUL TEHNOLOGIC MESERII ŞI SERVICII",77,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:18",1135,1126,0,9,0,334,325,0,9,0,310,24,1247,913,200,40,10,32,28
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",118,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:39",941,933,2,6,0,503,497,0,6,0,444,59,1043,540,254,42,27,77,44
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",119,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:23",1089,1075,4,9,1,603,593,0,9,1,537,66,1207,604,318,52,26,81,60
10,BUZĂU,"LICEUL TEHNOLOGIC RUȘEȚU",334,RUŞEŢU,49046,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:01:08",983,970,1,11,1,674,661,1,11,1,585,89,1065,391,267,56,18,217,27
10,BUZĂU,"LICEUL TEHNOLOGIC SF.MUCENIC SAVA, BERCA",147,BERCA,45101,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:45",635,625,0,10,0,339,329,0,10,0,316,23,800,461,184,13,12,81,26
10,BUZĂU,"LICEUL TEHNOLOGIC ”VICTOR FRUNZĂ”",88,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:18",1337,1323,0,11,3,586,572,0,11,3,562,24,1494,908,268,82,11,144,57
