precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FRASINU",210,CORNEŞTI,67014,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:44:48",517,495,1,18,3,291,270,0,18,3,264,27,542,251,112,22,52,8,62,2,3,0,3,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GORGOTA",363,RĂZVAD,65431,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:52",1062,1051,0,11,0,595,584,0,11,0,558,37,1160,565,85,13,416,6,19,9,5,1,4,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GRECI",331,PETREŞTI,65752,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:52:53",1242,1240,0,2,0,642,640,0,2,0,607,35,1370,728,360,10,104,6,55,53,7,5,5,2
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ GROZĂVEŞTI I",197,"CORBII MARI",66857,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:32:54",629,626,0,3,0,349,346,0,3,0,289,60,690,341,64,4,184,5,13,11,5,0,2,1
16,DÂMBOVIŢA,"SCOALA GIMNAZIALĂ GULIA- TĂRTĂŞEŞTI,",386,TĂRTĂŞEŞTI,105534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:22:10",966,951,0,15,0,667,652,0,15,0,619,48,1050,383,75,22,475,7,12,9,2,0,17,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ GURA FOII",253,"GURA FOII",65707,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:44:31",1238,1198,1,23,16,884,844,1,23,16,826,58,1335,450,262,19,375,11,140,11,3,4,1,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GURA VULCANEI",432,VULCANA-PANDELE,179640,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:16:22",901,896,2,3,0,388,384,1,3,0,370,17,990,602,137,5,120,5,19,41,2,1,39,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GURA VULCANEI",433,VULCANA-PANDELE,179640,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:35",811,811,0,0,0,354,354,0,0,0,328,26,890,536,94,8,142,4,24,38,1,2,15,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IANCU VĂCĂRESCU” - VĂCĂREȘTI",408,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:40",1135,1132,1,2,0,558,556,0,2,0,515,43,1249,691,161,12,244,7,45,10,1,3,30,2
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IANCU VĂCĂRESCU” - VĂCĂREȘTI",407,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:29:28",1441,1436,1,4,0,691,687,0,4,0,640,47,1525,838,172,22,305,6,58,13,3,3,58,0
