precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL FORTA NATIONALA-voturi","PARTIDUL VERDE-voturi","FANCSALI ERNŐ-voturi"
13,CLUJ,"SC. PRIM. CEABA",613,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:48:07",184,181,0,3,0,125,122,0,3,0,112,13,200,75,1,0,1,89,0,1,20,0,0,0,0,0,0,0,0
13,CLUJ,"SC. PRIM. DIV-MARI",618,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:33:05",121,114,0,7,0,83,76,0,7,0,73,10,128,45,5,0,2,64,0,0,2,0,0,0,0,0,0,0,0
13,CLUJ,"SC. PRIM. DIV-MICI",619,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:25:30",50,46,0,4,0,32,28,0,4,0,29,3,51,19,3,0,1,24,0,0,1,0,0,0,0,0,0,0,0
13,CLUJ,"SC. PRIM. MAHAL",617,SÂNMĂRTIN,59498,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:18",69,66,0,3,0,45,42,0,3,0,41,4,73,28,1,0,2,35,0,0,1,0,1,0,1,0,0,0,0
13,CLUJ,"SC. PRIM. TARGUSOR",616,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:39:27",95,91,0,4,0,59,55,0,4,0,53,6,101,42,1,1,4,38,2,1,5,0,1,0,0,0,0,0,0
13,CLUJ,"S.C. VASROM S.R.L DEJ",203,"MUNICIPIUL DEJ",55008,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:21:28",1307,1290,13,4,0,418,414,0,4,0,405,13,1424,1006,47,91,3,153,32,29,34,0,5,0,3,2,0,4,2
13,CLUJ,"SEDIU ADMINISTRATIV GHIROLT",306,ALUNIŞ,55623,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:23",339,319,0,14,6,211,191,0,14,6,170,41,356,145,15,16,1,116,13,3,3,0,0,0,0,0,0,2,1
13,CLUJ,"SEDIUL ADMINISTRATIV AL PRIMARIEI SUATU",627,SUATU,59657,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:56:11",1054,1040,1,6,7,674,661,0,6,7,557,117,1156,482,41,23,361,61,40,4,1,0,0,14,6,3,1,2,0
13,CLUJ,"SEDIUL PRIMĂRIEI",620,SÂNPAUL,59586,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:52",731,706,0,17,8,491,466,0,17,8,426,65,778,287,59,33,3,268,17,13,16,0,5,0,3,9,0,0,0
13,CLUJ,"SEDIUL PRIMĂRIEI SALA DE SEDINŢE",587,RECEA-CRISTUR,59130,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:54:09",643,508,0,86,49,428,293,0,86,49,411,17,616,188,36,9,2,342,7,12,2,0,1,0,0,0,0,0,0
13,CLUJ,"SEDIU SECTOR PISCICOLA",316,APAHIDA,55687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:25:05",155,144,2,9,0,90,81,0,9,0,88,2,158,68,9,7,4,44,6,0,17,0,0,0,1,0,0,0,0
13,CLUJ,"SEMINARUL TEOLOGIC ORTODOX (FOSTĂ ŞCOALA ”DAVID PRODAN”),",138,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:14",1828,1795,21,12,0,682,669,1,12,0,655,27,2047,1365,46,17,140,286,10,18,101,1,13,4,1,4,1,11,2
13,CLUJ,"STADION COMUNAL-VESTIARE",655,"VALEA IERII",60026,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:09:52",811,741,3,35,32,696,627,2,35,32,650,45,886,190,316,29,5,244,16,7,18,0,2,2,1,3,0,7,0
13,CLUJ,"UNIVERSITATEA ”BABES-BOLYAI” - FACULTATEA DE ŞTIINŢE ECONOMICE ŞI GESTIUNEA AFACERILOR,",121,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:37",1276,1258,5,13,0,414,401,0,13,0,408,6,1439,1025,38,11,51,211,6,5,60,0,6,2,0,7,2,8,1
13,CLUJ,"UNIVERSITATEA ”BABES-BOLYAI” - FACULTATEA DE ŞTIINŢE ECONOMICE ŞI GESTIUNEA AFACERILOR,",120,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:38:33",1913,1844,53,16,0,608,591,1,16,0,600,8,2106,1498,26,15,52,336,14,3,127,0,11,1,3,3,1,7,1
