precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","MILITARU IONEL-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.1",398,ŞTEFĂNEŞTI,173748,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:23:48",584,515,0,48,21,402,333,0,48,21,366,36,560,158,10,189,96,15,25,2,4,1,2,0,20,1,1
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ NR. 10",58,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:19",1120,1110,2,8,0,334,326,0,8,0,328,6,1280,946,14,118,79,19,5,2,40,1,4,3,28,8,7
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ NR. 10",56,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:45",1213,1206,0,7,0,465,458,0,7,0,445,20,1380,915,16,163,123,11,6,1,66,3,1,5,43,4,3
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ NR. 10",57,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:53",1405,1396,0,9,0,535,526,0,9,0,515,20,1630,1095,14,216,110,15,9,5,63,0,3,6,55,12,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",79,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:52:44",943,935,0,8,0,319,311,0,8,0,310,9,1060,741,7,117,71,10,12,2,36,1,1,3,38,7,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",78,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:48:37",938,933,1,4,0,282,278,0,4,0,275,7,1060,778,9,101,59,6,5,1,42,1,3,4,29,11,4
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",82,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:35",1015,1009,0,6,0,325,319,0,6,0,303,22,1140,815,9,105,82,3,8,4,45,2,1,1,34,4,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",83,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:20",1360,1352,0,7,1,481,473,0,7,1,462,19,1520,19,15,165,105,9,15,3,63,1,1,6,54,10,15
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",84,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:29",1406,1398,0,7,1,504,496,0,7,1,492,12,1570,1066,14,148,133,17,14,9,56,2,7,5,72,8,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",81,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:12",1013,1006,0,7,0,321,314,0,7,0,310,11,1150,829,8,103,72,12,10,2,37,3,5,2,46,4,6
