precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
5,BIHOR,"ȘCOALA CU CLASELE I- IV, BOIANU-MARE",253,"BOIANU MARE",27506,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:09",465,444,0,6,15,318,297,0,6,15,297,21,512,194,223,4,0,2,53,1,9,0,5
5,BIHOR,"ȘCOALA CU CLASELE I-IV FONĂU",419,"HUSASĂU DE TINCA",29662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:40:48",171,163,0,7,1,82,74,0,7,1,71,11,183,101,36,1,1,3,27,0,1,1,1
5,BIHOR,"ȘCOALA CU CLASELE. I-IV JOSANI",299,CĂBEŞTI,28077,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:28:46",403,392,0,9,2,280,269,0,9,2,252,28,431,151,134,5,3,0,95,4,3,0,8
5,BIHOR,"ŞCOALA CU CLASELE I-IV LAZURI",526,ROŞIA,30844,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:16",332,317,0,11,4,288,273,0,11,4,271,17,351,63,176,2,0,2,82,6,2,0,1
5,BIHOR,"ȘCOALA CU CLASELE I-IV LUPOAIA",415,HOLOD,29573,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:02:33",503,471,0,28,4,248,216,0,28,4,222,26,515,267,148,3,1,5,51,0,5,5,4
5,BIHOR,"ȘCOALA CU CLASELE I-IV MIERSIG",420,"HUSASĂU DE TINCA",29662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:12",314,297,0,5,12,165,148,0,5,12,157,8,340,175,80,0,0,1,59,3,2,1,11
5,BIHOR,"ȘCOALA CU CLASELE I-IV OȘAND",421,"HUSASĂU DE TINCA",29662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:04",417,399,0,6,12,222,204,0,6,12,193,29,437,215,45,5,0,4,103,0,33,2,1
5,BIHOR,"ȘCOALA CU CLASELE I-IV SITITELEC",422,"HUSASĂU DE TINCA",29662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:29",276,256,0,9,11,148,128,0,9,11,138,10,281,133,65,2,1,2,60,0,0,0,8
5,BIHOR,"ȘCOALA CU CLASELE I-IV TULCA NOUĂ",636,TULCA,31841,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:44",251,243,0,5,3,179,171,0,5,3,177,2,275,96,99,1,0,1,57,2,5,0,12
5,BIHOR,"ŞCOALA CU CLASELE I - VIII",595,ŞOIMI,31422,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:29:02",502,453,3,35,11,372,326,0,35,11,353,19,501,129,292,2,1,3,41,4,3,0,7
