precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",48,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:18",1336,1324,2,10,0,571,561,0,10,0,552,19,1500,929,9,7,270,0,0,230,34,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",46,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:11:29",1381,1370,5,6,0,571,565,0,6,0,550,21,1500,929,14,12,286,1,0,210,21,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",155,LĂZAREA,84594,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:24:55",1688,1662,4,5,17,821,799,0,5,17,735,86,1800,979,19,20,444,6,3,6,231,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",156,LĂZAREA,84594,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:13:21",1118,1102,4,5,7,486,474,0,5,7,446,40,1200,714,18,13,231,6,1,12,164,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” NR.3 LĂZAREA",157,LĂZAREA,84594,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:52:00",158,153,3,2,0,75,73,0,2,0,66,9,194,119,4,3,46,1,0,0,12,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ BÎRZAVA",145,FRUMOASA,84415,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:18",539,531,0,0,8,203,195,0,0,8,193,10,600,397,6,4,148,1,0,10,21,3
21,HARGHITA,"ŞCOALA GIMNAZIALĂ CORUND",119,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:26:37",1327,1327,0,0,0,600,600,0,0,0,564,36,1400,800,10,17,514,0,3,5,14,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ CORUND",120,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:47:24",1558,1557,1,0,0,495,495,0,0,0,484,11,1700,1205,16,44,407,0,1,6,10,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „CSIBY ANDOR” DITRĂU „KOHID”",135,DITRĂU,84344,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:21",929,927,2,0,0,244,244,0,0,0,220,24,1000,756,8,8,180,2,0,3,18,1
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „DR. CSIBY ANDOR” DITRĂU",136,DITRĂU,84344,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:54:49",893,891,2,0,0,226,226,0,0,0,212,14,1000,774,3,3,183,1,0,1,20,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",148,GĂLĂUŢAŞ,84460,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:40",985,973,2,1,9,418,408,0,1,9,393,25,1000,582,101,168,80,9,13,6,1,15
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",149,GĂLĂUŢAŞ,84460,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:51",720,717,1,1,1,222,220,0,1,1,201,21,800,578,48,99,22,10,7,4,0,11
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",150,GĂLĂUŢAŞ,84460,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:59:31",314,311,1,0,2,161,159,0,0,2,145,16,383,222,61,54,3,10,8,0,3,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ FÂNTÂNA BRAZILOR",122,CORUND,84175,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:35",261,260,1,0,0,124,124,0,0,0,114,10,300,176,2,2,108,1,0,1,0,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”FULOP ARON” FELICENI",138,FELICENI,83197,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:33",792,788,3,1,0,473,472,0,1,0,452,21,800,327,18,14,268,3,3,39,102,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”GAL SANDOR” CIUCSÂNGEORGIU",106,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:04",889,883,1,4,1,452,447,0,4,1,362,90,900,448,9,14,287,1,1,18,26,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”GAL SANDOR” CIUCSÂNGEORGIU",107,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:57",735,726,2,6,1,407,399,1,6,1,349,58,800,393,7,9,236,2,1,30,60,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ GÂRCIU",220,RACU,86495,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:29",412,399,1,0,12,183,173,0,0,10,171,12,487,304,9,1,155,0,0,1,5,0
21,HARGHITA,"SCOALA GIMNAZIALĂ ”GEO BOGZA” BĂLAN - CLĂDIRE ȘCOALA NR. 1",69,"ORAŞ BĂLAN",83464,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:47:35",1296,1279,1,8,8,443,427,0,8,8,406,37,1400,957,78,71,146,26,27,10,9,39
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”GEO BOGZA” BĂLAN - CORP A,B",70,"ORAŞ BĂLAN",83464,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:48",1182,1180,0,1,1,345,343,0,1,1,314,31,1300,955,47,70,105,19,40,9,3,21
