precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",213,LOZNA,141884,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:21:47",172,131,0,37,4,127,86,0,37,4,117,10,152,25,20,81,5,1,2,6,0,0,0,2
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:05",420,412,0,8,0,232,224,0,8,0,224,8,450,218,104,39,5,5,44,4,0,2,17,4
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:52",346,338,1,7,0,168,161,0,7,0,156,12,390,222,41,24,3,1,16,64,2,5,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:47",300,282,0,5,13,184,166,0,5,13,166,18,310,126,69,44,8,3,8,2,1,8,20,3
33,SĂLAJ,"CĂMINUL CULTURAL",165,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:47",113,87,0,25,1,80,54,0,25,1,74,6,89,9,46,6,3,4,9,2,0,1,2,1
33,SĂLAJ,"CĂMINUL CULTURAL",177,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:25",109,101,0,8,0,67,59,0,8,0,59,8,117,50,14,27,4,1,4,0,0,2,7,0
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:02:49",31,18,0,13,0,23,10,0,13,0,23,0,40,17,3,12,0,0,1,1,1,1,4,0
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:44",329,323,0,6,0,176,170,0,6,0,145,31,366,190,20,71,5,1,4,4,1,28,10,1
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:07",116,98,0,18,0,57,39,0,18,0,53,4,108,51,7,29,2,1,2,1,0,1,10,0
33,SĂLAJ,"CĂMINUL CULTURAL",186,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:07",286,193,0,88,5,217,124,0,88,5,202,15,264,47,91,64,4,4,5,2,1,8,22,1
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:12",233,225,0,3,5,151,143,0,3,5,146,5,287,136,68,51,14,7,0,1,0,2,0,3
