precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE-voturi",PSD-ALDE-PNȚCD-ADER-voturi
14,CONSTANŢA,"GRĂDINIȚA NR. 5 NEPTUN",237,"MUNICIPIUL MANGALIA",60482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:10:25",514,506,0,8,0,257,249,0,8,0,210,47,601,344,12,17,79,0,2,3,4,3,10,6,2,72
14,CONSTANŢA,"GRADINIŢA NR.7",272,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:34:45",1333,1325,0,8,0,593,585,0,8,0,563,30,1500,906,30,20,293,2,3,6,75,2,9,11,3,109
14,CONSTANŢA,"GRĂDINIŢA NR.8",244,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:09",1387,1370,1,16,0,501,485,0,16,0,460,41,1500,999,35,14,273,1,6,8,27,3,11,7,1,74
14,CONSTANŢA,"GRĂDINIȚA ”PEȘTIȘORUL DE AUR”",308,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:17:47",1536,1524,0,12,0,627,615,0,12,0,603,24,1700,1073,37,124,119,4,91,17,67,6,19,11,7,101
14,CONSTANŢA,"GRĂDINIŢA PINOCHIO",485,"MIHAIL KOGĂLNICEANU",62191,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:28:53",1203,1168,2,13,20,673,640,0,13,20,636,37,1300,627,14,33,409,0,8,12,29,4,11,4,12,100
14,CONSTANŢA,"GRĂDINIŢA PITICOT",489,"MIHAIL KOGĂLNICEANU",62191,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:15:11",790,780,0,9,1,387,377,0,9,1,359,28,900,513,23,15,177,0,2,8,21,1,16,3,3,90
14,CONSTANŢA,"GRĂDINIŢA PITICOT",488,"MIHAIL KOGĂLNICEANU",62191,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:32",777,768,0,9,0,343,334,0,9,0,324,19,800,457,28,8,206,1,1,8,18,5,6,3,0,40
14,CONSTANŢA,"GRĂDINIȚA P+M GRĂDINA",446,GRĂDINA,63326,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:19",579,575,1,2,1,334,331,0,2,1,268,66,600,266,20,7,44,0,0,5,3,3,3,4,0,179
14,CONSTANŢA,"GRĂDINIŢA SAT DUNĂREA",534,SEIMENI,62903,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:05",359,357,0,2,0,359,357,0,2,0,312,47,601,242,4,23,211,1,1,1,4,2,1,3,1,60
14,CONSTANŢA,"GRADINIŢA VAROŞ",299,"ORAŞ HÂRŞOVA",60801,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:46:19",1304,1286,0,14,4,724,706,0,14,4,626,98,1399,675,27,22,239,2,4,14,36,5,11,10,6,250
14,CONSTANŢA,"GRADINITA VECHE",546,TUZLA,60721,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:19:31",1207,1175,3,17,12,649,620,0,17,12,607,42,1300,651,75,89,143,2,2,10,29,4,38,13,8,194
14,CONSTANŢA,"GRĂDINIȚA VIIȘOARA",401,COBADIN,61318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:37",1319,1309,0,10,0,609,599,0,10,0,517,92,1400,791,18,109,132,1,5,26,15,6,11,14,3,177
