precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
15,COVASNA,"ȘCOALA PRIMARĂ ÎNTORSURA BUZĂULUI",87,"ORAŞ ÎNTORSURA BUZĂULUI",63580,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:31:43",790,782,1,7,0,463,455,1,7,0,369,94,800,337,16,76,53,30,11,102,27,3,51
15,COVASNA,"ŞCOALA PRIMARĂ ”JÓKAI MÓR” TURIA",194,TURIA,64871,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:30",676,644,0,5,27,275,243,0,5,27,254,21,800,525,5,1,1,1,211,1,4,30,0
15,COVASNA,"ŞCOALA PRIMARĂ LEŢ",110,"BOROŞNEU MARE",63937,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:40:17",559,523,0,20,16,354,318,0,20,16,334,20,600,246,15,12,133,2,160,7,1,4,0
15,COVASNA,"ŞCOALA PRIMARĂ LUNCA MĂRCUŞULUI",140,DOBÂRLĂU,64265,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:33",289,284,1,3,1,152,148,0,3,1,139,13,310,158,1,18,1,5,1,61,48,0,4
15,COVASNA,"ŞCOALA PRIMARĂ MALNAŞ BĂI",159,MALNAŞ,64504,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:33",358,356,0,2,0,148,146,0,2,0,139,9,400,252,2,2,0,6,109,6,3,11,0
15,COVASNA,"ŞCOALA PRIMARĂ MĂRCUŞ",139,DOBÂRLĂU,64265,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:13:25",351,337,1,11,2,220,207,0,11,2,207,13,410,190,9,30,6,9,3,68,57,0,25
15,COVASNA,"ŞCOALA PRIMARĂ MĂRTĂNUŞ",121,BREŢCU,64096,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:27",618,605,0,8,5,232,219,0,8,5,206,26,700,468,3,7,4,3,144,26,10,7,2
15,COVASNA,"ȘCOALA PRIMARĂ MICLOŞOARA",74,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:07:50",368,357,1,6,4,177,167,0,6,4,148,29,400,223,0,2,4,1,114,2,2,23,0
15,COVASNA,"ŞCOALA PRIMARĂ NR.2 GHELINŢA",145,GHELINŢA,64318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:17",1130,1084,2,10,34,652,616,0,3,33,580,72,1100,448,34,13,1,6,456,3,3,64,0
15,COVASNA,"ŞCOALA PRIMARĂ NR.2 LEMNIA DE SUS",157,LEMNIA,64461,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:45",840,822,0,4,14,377,359,0,4,14,334,43,900,523,8,2,1,0,302,2,3,15,1
15,COVASNA,"ŞCOALA PRIMARĂ NR.3 TURIA",195,TURIA,64871,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:33",1198,1173,0,5,20,415,390,0,5,20,367,48,1300,885,6,3,2,1,333,0,1,19,2
15,COVASNA,"ŞCOALA PRIMARĂ ”REMÉNYIK SÁNDOR” ALUNGENI",196,TURIA,64871,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:18:57",255,224,3,6,22,137,109,0,6,22,128,9,300,163,3,1,1,1,118,2,0,1,1
15,COVASNA,"ŞCOALA PRIMARĂ RUSENI, TÂRGU SECUIESC",63,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:17",552,545,0,6,1,206,199,0,6,1,192,14,601,395,1,2,1,2,147,6,2,29,2
15,COVASNA,"ŞCOALA PRIMARĂ ”TUZSON JÁNOS” BELANI",178,POIAN,64719,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:00",405,384,2,3,16,233,214,0,3,16,207,26,500,267,6,3,1,5,138,8,0,46,0
15,COVASNA,"ŞCOALA PRIMARĂ VALEA DOBÂRLĂULUI",138,DOBÂRLĂU,64265,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:36",269,256,0,13,0,172,159,0,13,0,153,19,310,138,6,28,4,16,5,47,41,2,4
15,COVASNA,"ŞCOALA PRIMARĂ VALEA ZĂLANULUI",160,MALNAŞ,64504,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:18:07",100,97,0,3,0,47,44,0,3,0,40,7,100,53,1,0,2,0,29,0,1,7,0
15,COVASNA,"ȘCOALA PRIMARĂ ” VIDA ANDRÁS” PACHIA",114,BRATEŞ,64005,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:36:08",268,261,0,0,7,103,96,0,0,7,98,5,294,191,2,1,0,0,91,1,0,3,0
15,COVASNA,"SCOLA PRIMARĂ DOBOLII DE SUS",109,"BOROŞNEU MARE",63937,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:17:15",133,118,0,14,1,133,118,0,14,1,119,14,300,167,0,2,76,0,29,8,0,4,0
15,COVASNA,"SEDIUL CONSILIULUI LOCAL ARCUŞ",92,ARCUŞ,65113,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:37:32",1361,1323,4,2,32,696,661,1,2,32,663,33,1486,790,10,6,1,2,595,2,5,41,1
15,COVASNA,"SEDIUL DE DEPLASARE AL PRIMARIEI ÎN AITA SEACĂ",100,BĂŢANI,63802,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:26",572,561,0,4,7,208,197,0,4,7,186,22,700,492,7,4,0,5,147,6,2,15,0
15,COVASNA,"SEDIUL DE DEPLASARE AL PRIMARIEI ÎN SATUL HERCULIAN",99,BĂŢANI,63802,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:40",896,853,0,4,39,403,360,0,4,39,306,97,1000,597,81,6,2,4,194,2,5,11,1
15,COVASNA,"SEDIUL PRIMĂRIEI",158,MALNAŞ,64504,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:11:15",412,402,0,1,9,258,248,0,1,9,243,15,489,231,5,0,0,2,222,2,1,11,0
